,name,has_test,response_letter_required,published_at,archived,alternate_url,id,trusted,from,to,currency,gross,raw,lat,lng,responsibility,requirement,metro,role
59,QA-инженер,False,False,2024-06-06T16:00:07+0300,False,https://hh.ru/vacancy/81886136,full,True,,,,,"Санкт-Петербург, проспект Стачек, 47",59.88144287139574,30.261433286051574,"Поиск дефектов в функционировании, логике работы и документации на ПО. Разработка тестовых сценариев и тест-кейсов. Разработка и поддержка в...",Знание методологии тестирования ПО. Опыт коммерческой разработки от года. Опыт самостоятельного тестирования на всем цикле разработки ПО. Опыт тестирования клиент...,,Тестировщик
60,Test Engineer (project-Telecom),False,False,2024-06-06T17:31:01+0300,False,https://hh.ru/vacancy/101448470,full,True,,,,,,,,"Ручное тестирование сценариев. Автоматизация тестовых сценариев на скриптовых языках (<highlighttext>Python</highlighttext>, Shell, etc.). Анализ результатов тестирования и создание отчетов об ошибках.","Дополнительно приветствуем: Опыт работы с телекоммуникационными системами GSM/LTE. Знание скриптовых языков (<highlighttext>Python</highlighttext>, Shell, Perl, LUA, etc.). Опыт работы с...",,Тестировщик
61,Middle Go developer,False,True,2024-06-06T14:34:18+0300,False,https://hh.ru/vacancy/94850860,full,True,,,,,"Санкт-Петербург, Щербаков переулок, 17/3с1",59.927667,30.345881,Разрабатывать бэкэнд-приложения в high-load проекте. Осуществлять review кода. Принимать участие в проектировании. Заниматься оптимизацией. Взаимодействовать с другими командами...,Имеешь опыт разработки на Go и/или <highlighttext>Python</highlighttext> от 2 лет. Умеешь пользоваться git. Знаешь технический английский язык. ,,"Программист, разработчик"
62,Ведущий инженер больших данных / Senior Data Engineer,False,False,2024-06-06T09:35:13+0300,False,https://hh.ru/vacancy/98525201,full,True,,,,,,,,"Развитие озера данных на базе Hadoop: проектирование озера данных, написание пайплайнов для подключения новых источников, написание интеграционных механизмов, в том...",Хорошее знание SQL. Уверенный опыт программирования на <highlighttext>Python</highlighttext>. Отличное понимание процессов ETL/ELT и как их применять. Понимание принципов CI...,,"Программист, разработчик"
63,Системный инженер (Системный администратор/DevOps),False,False,2024-06-06T09:21:16+0300,False,https://hh.ru/vacancy/101394098,full,True,230000.0,260000.0,RUR,False,,,,"Взаимодействие с разработчиками. Поддержка инфраструктуры организации. 3-я линия технической поддержки. Участие в подготовке стендов для клиентов. Развитие инфраструктуры, автоматизации...","Знание языков для написания простых скриптов (bash, <highlighttext>python</highlighttext>). Опыт работы с GIt и Ansible. Знание Nginx и Docker. ",,Системный инженер
64,OSINT-аналитик,False,False,2024-06-06T09:19:24+0300,False,https://hh.ru/vacancy/101393785,full,True,,,,,"Санкт-Петербург, Внуковская улица, 2",59.805785,30.311942,"Сбор информации в открытых источниках (СМИ, соц. сети, Telegram, Darknet). Подготовка информационно-аналитических материалов, документирование выводов и наблюдений, интерпретация результатов...","Опыт применения специализированных техник и ПО OSINT (приветствуются свои приемы и методы, наработки). Уверенное знание <highlighttext>Python</highlighttext>. Опыт сбора информации из...",Звёздная,Аналитик
65,Middle/Senior C++ разработчик в Поиск,False,False,2024-06-06T09:19:02+0300,False,https://hh.ru/vacancy/98520951,full,True,,,,,,,,"Участвовать непосредственно в развитии движка поиска. Задачи в основном такие, которые требуют знания алгоритмов, погружения в логику поиска и архитектуру...","Умеешь работать в команде, а также самостоятельно искать и использовать всю необходимую информацию. Опыт работы с поисковыми алгоритмами. Знание <highlighttext>Python</highlighttext>. ",,"Программист, разработчик"
66,Middle C++ разработчик в команду алгоритмов Транспорта,False,False,2024-06-06T09:19:48+0300,False,https://hh.ru/vacancy/98521040,full,True,,,,,,,,"Какие задачи мы решаем в проекте: команда алгоритмов Транспорта разрабатывает библиотеки и компоненты для построения маршрутов, для коммерческого API и...",У тебя есть опыт от 3х лет в коммерческой разработке на C++ от 17 версии и STL. ,,"Программист, разработчик"
67,QA engineer (Добровольное страхование),False,False,2024-06-06T17:45:01+0300,False,https://hh.ru/vacancy/101449306,full,True,,,,,,,,"Писать автоматизированные и интеграционные тесты для внутренней системы “Банковское страхование”. Интеграционное, функциональное, нефункциональное, автоматизированное тестирование. Разработка API автотестов: тестирование бэкенд...","Умение грамотно и точно выражать свои мысли. Опыт работы с OpenShift, Kafka. Знание языка программирования (Java, c, c#, <highlighttext>Python</highlighttext>, JS...",,Тестировщик
68,Специалист по информационной безопасности (ПО/ПАК),False,False,2024-06-06T13:40:19+0300,False,https://hh.ru/vacancy/101424821,full,True,140000.0,,RUR,True,"Санкт-Петербург, Кантемировская улица, 5",59.981262,30.32875,Проведение сертификационных испытаний и тематических исследований СЗИ и защищенных средств обработки информации на соответствие требованиям ФСБ России и МО РФ. ,"Высшее образование по направлению подготовки «Информационная безопасность». Знание языков / навыки программирования: C/C++, <highlighttext>Python</highlighttext>. Понимание фундаментальных принципов устройства и работы...",,Специалист по информационной безопасности
69,Инженер по качеству (NGFW),False,False,2024-06-06T14:31:08+0300,False,https://hh.ru/vacancy/101432110,full,True,,,,,,,,"Тестирование пользовательского веб-интерефейса. Тестирование API системы управления NGFW (Web API, Postman).","Знание и опыт работы с спецификации OpenAPI. Опыт работы с <highlighttext>python</highlighttext>, на уровне запуска существующих скриптов, умения. Опыт работы с...",,Тестировщик
70,Middle QA Auto Engineer,False,False,2024-06-06T10:41:31+0300,False,https://hh.ru/vacancy/101403851,full,True,,,,,,,,Функциональное и регрессионное тестирование приложений Web/Mobile-приложений. Фиксирование ошибок в таск-трекер. Автоматизированное тестирования приложений. Подготовка отчетов о тестировании. ,"Опыт написания UI-тестов и владение одним из перечисленных языков программирования: <highlighttext>Python</highlighttext>, C#, Java, Kotlin, JavaScript. Знание английского языка на...",,Тестировщик
71,Системный аналитик внедрения Naumen Contact Center,False,False,2024-06-06T09:48:16+0300,False,https://hh.ru/vacancy/99960815,full,True,,,,,,,,"Над чем предстоит работать: Взаимодействовать с заказчиками, выявлять и анализировать их потребности, консультировать по работе существующей системы. Собирать, систематизировать, согласовывать...","Знание бизнес-процессов контактных центров. Базовые знания одного из скриптовых языков (javascript, <highlighttext>python</highlighttext>). Знание основ IP телефонии. Понимание принципов работы...",,Системный аналитик
72,Младший аналитик/аналитик отдела развития,False,False,2024-06-06T12:58:52+0300,False,https://hh.ru/vacancy/101420374,full,True,60000.0,,RUR,False,"Санкт-Петербург, Невский проспект, 142",59.92984008996423,30.369443711638556,"Анализировать поступающие от сотрудников компании идеи по улучшению. внутренних процессов, собирать необходимую информацию и помогать в реализации жизнеспособных идей. ","Готовность к большому количеству коммуникации. Опыт работы на схожей должности от 6 месяцев. Владение VBA (для Excel), R/<highlighttext>Python</highlighttext> или...",,Бизнес-аналитик
73,Системный администратор компьютерных сетей,False,False,2024-06-11T10:57:45+0300,False,https://hh.ru/vacancy/99681219,full,True,110000.0,,RUR,True,"Тосненский район, город Никольское",59.93853099680896,30.313496980816158,"Администрирование и техническое сопровождение сетевой инфраструктуры компании, серверы, рабочие станции, в т.ч. ТК, а также СКУД Бастион, телефония Panasonic...","Резервным копированием и восстановлением данных Veeam Backup & Replication. Synology Rackstation. Будет преимуществом: Знание PowerShell, <highlighttext>Python</highlighttext>. Опыт администрирования linux, zabbix. ",,Системный администратор
74,Специалист по информационной безопасности (СКЗИ),False,False,2024-06-06T14:52:30+0300,False,https://hh.ru/vacancy/101434655,full,True,140000.0,,RUR,True,"Санкт-Петербург, Кантемировская улица, 5",59.981262,30.32875,Выполнение специальных работ по оценке встраивания СКЗИ (в соответствии с ГОСТ РВ 50797-95 и ПКЗ-2005). Участие в проведении...,"Высшее техническое образование (информационная безопасность либо специальности из группы электроника, радиотехника и системы связи согласно ОКСО). Знание принципов построения и...",,Специалист по информационной безопасности
75,Techlead команды разработки (Golang or Python),False,False,2024-06-05T17:16:34+0300,False,https://hh.ru/vacancy/101363769,full,True,,,,,,,,Выявление уязвимостей . Автоматизация моделирования угроз. Безопасность opensource-решений. Безопасность Kubernetes и облачных решений. Безопасность цепочки поставок (CI/CD). ,"Опыт разработки на <highlighttext>Python</highlighttext>/Golang от 3 лет. Опыт проектирования и разработки highload-решений, использования инструментов анализа производительности приложений (APM). ",,Руководитель группы разработки
76,Senior Software Engineer in Test-SDET (JS/TS/Python),False,False,2024-06-05T12:43:26+0300,False,https://hh.ru/vacancy/95264393,full,True,,,,,,,,Развитие фреймворка автотестирования. - Разработка автотестов. - Написание плагинов и инструментов для представления результатов. - Отладка и профилирование инструментов тестирования. - Выполнение существующих тестовых...,"Идеальным для нас кандидатом является инженер уровня senior с хорошим знанием скриптовых языков <highlighttext>Python</highlighttext> и JavaScript/TypeScript, а также с...",,"Программист, разработчик"
77,Старший администратор вычислительной сети,False,False,2024-06-06T11:44:17+0300,False,https://hh.ru/vacancy/99545050,full,True,82000.0,,RUR,True,"Санкт-Петербург, Одоевского, 29 лит.А",59.948289,30.23511,Обеспечение комплексной поддержки в работоспособном состоянии и развитие существующей информационной инфраструктуры. Настройка и обслуживание серверного и сетевого оборудования. ,Умением самостоятельно находить решение технических проблем. Умение написания скриптов на PS/VBS/<highlighttext>Python</highlighttext> и др.. Опыт администрирования MS SQL будет...,Приморская,Системный администратор
